"P0. Município","1. Tipo da Categoria. Selecionar a opção única Artesanato.","2. Situação. Selecionar opção ATIVO ou INATIVO.","3. Nome do Atrativo. Informar o nome pelo qual o atrativo artesanal é conhecido pela comunidade local ou visitantes (ex.: Feira de Artesanato Local, Ateliê de Cerâmica).","4. Origem Cultural. Descrever a origem cultural ou histórica do atrativo artesanal (ex.: influências indígenas, africanas, europeias; tradições regionais).","5. Finalidade. Selecionar os campos de acordo com a finalidade do artesanato.","5. Finalidade. Selecionar os campos de acordo com a finalidade do artesanato.","5. Finalidade. Selecionar os campos de acordo com a finalidade do artesanato.","5. Finalidade. Selecionar os campos de acordo com a finalidade do artesanato.","5. Finalidade. Selecionar os campos de acordo com a finalidade do artesanato.","5.1. Outro qual? Especifique:","6. Tipo. Selecionar os campos de acordo com o tipo do artesanato.","6. Tipo. Selecionar os campos de acordo com o tipo do artesanato.","6. Tipo. Selecionar os campos de acordo com o tipo do artesanato.","6. Tipo. Selecionar os campos de acordo com o tipo do artesanato.","6. Tipo. Selecionar os campos de acordo com o tipo do artesanato.","6. Tipo. Selecionar os campos de acordo com o tipo do artesanato.","6. Tipo. Selecionar os campos de acordo com o tipo do artesanato.","6. Tipo. Selecionar os campos de acordo com o tipo do artesanato.","6. Tipo. Selecionar os campos de acordo com o tipo do artesanato.","6.1. Outro qual? Especifique:","7. Matéria-prima. Selecionar os campos de acordo com a matéria-prima do artesanato.","7. Matéria-prima. Selecionar os campos de acordo com a matéria-prima do artesanato.","7. Matéria-prima. Selecionar os campos de acordo com a matéria-prima do artesanato.","7. Matéria-prima. Selecionar os campos de acordo com a matéria-prima do artesanato.","7. Matéria-prima. Selecionar os campos de acordo com a matéria-prima do artesanato.","7. Matéria-prima. Selecionar os campos de acordo com a matéria-prima do artesanato.","7. Matéria-prima. Selecionar os campos de acordo com a matéria-prima do artesanato.","7. Matéria-prima. Selecionar os campos de acordo com a matéria-prima do artesanato.","7. Matéria-prima. Selecionar os campos de acordo com a matéria-prima do artesanato.","7. Matéria-prima. Selecionar os campos de acordo com a matéria-prima do artesanato.","7. Matéria-prima. Selecionar os campos de acordo com a matéria-prima do artesanato.","7. Matéria-prima. Selecionar os campos de acordo com a matéria-prima do artesanato.","7. Matéria-prima. Selecionar os campos de acordo com a matéria-prima do artesanato.","7. Matéria-prima. Selecionar os campos de acordo com a matéria-prima do artesanato.","7.1. Outro qual? Especifique:","8.1 Descrição do Atrativo. Informar os tipos de artesanato (ex.: cerâmica, renda, esculturas, tecelagem).","8.2 Descrição do Atrativo. Informar as técnicas de produção (ex.: modelagem manual, tear, pintura).","8.3 Descrição do Atrativo. Informar os locais de produção ou comercialização (ex.: feiras, ateliês, lojas).","8.4 Descrição do Atrativo. Informar a periodicidade, se aplicável (ex.: feiras sazonais, produção contínua).","8.5 Descrição do Atrativo. Informar a relevância para o turismo (ex.: atrativo para visitantes, workshops para turistas, feiras anuais).","10. Fonte. Informar de onde, pessoa ou órgão/entidade, as informações foram extraídas e inseridas nos campos anteriores.","10.1 Fonte. Incluir contatos, se disponíveis (ex.: nome do responsável, telefone, e-mail).","Pesquisador:","Pesquisador","Nro. Identificação","Data Início","Data Fim","Latitude","Longitude"
"Trindade","Artesanato","ATIVO","Ateliê do mestre Deda","Mestre Deda é artesão de Trindade, no sertão de Pernambuco, região conhecida como a Capital do Gesso.Seu trabalho nasce da tradição nordestina e do uso da gipsita, pedra típica do Polo Gesseiro do Araripe.A matéria-prima utilizada vem da gipsita.","Figurativa","Lúdica","Religiosa",,,"Artes versáteis, atemporal, adaptadas a diferentes estilos, decoração, símbolos, releitura de artes importante","Literatura","Outros: Especifique outro tipo não listado",,,,,,,,"Arte na pedra do gesso, a gipsita.","Pedras",,,,,,,,,,,,,,"R/N","Esculturas, símbolos, decoração, artes de animais e muitas outras criação adotadas, artes que remete o nordeste","Moldagens na pedra gipsita, que o material bruto","A confecção é feita no ateliê do Deda, onde o mesmo comercializar. Também é levado para feiras, nacionais e municipais.","Produção, diárias, produção para eventos, produção para feiras...","Importante para o conhecimento e valorização da cidade, onde os turista podem conhecer de perto a riquezas do sertão Pernambuco","Mestre Deda","Deda 87 9 9985-7402","CICERO ANDERSON DOS SANTOS OLIVEIRA | 1295889182 ","CICERO ANDERSON DOS SANTOS OLIVEIRA | 1295889182",3394948,20/05/2026 10:46:50,20/05/2026 11:03:08,-7.77087667,-40.26927333
"Petrolândia ","Artesanato","ATIVO","Artesanato na orla","Tradicões regionais , e local , começaram a oferecer esse serviço por conta do local do embarque e desembarque do catamarã","Figurativa","Lúdica","Religiosa","Utilitária","Outros: Especifique outra finalidade não listada","Arte , no couro e madeira","Bordados","Croché","Cutelaria","Renda","Tapeçaria","Outros: Especifique outro tipo não listado",,,,"Arte com couro de peixe","Arame","Cerâmica","Couro","Fibras","Gesso","Madeira","Metal","Papel","Pedras","Reciclados","Tecido",,,,"Arte no couro da tilapia","Sandalhas , bousas , bebidas , chaveiro , e etc..","Manual","Producão fundo de quintal , vendidos 3m feira , orla e em casa .","Sempre em produção / prioridade orla","São fabricado com exclusividade para o turista","Informacões Direta mente  no local de venda","Dona maria do carmo / contato: 87 98843-6324","Marcio Gomes dos Santos | 1333434812","Marcio Gomes dos Santos | 1333434812",3433206,07/06/2026 16:18:25,07/06/2026 16:32:10,-8.98546797,-38.21876801
