"P0. Município","1. Tipo da Categoria. Especificar de acordo com os itens listados abaixo; se houver mais de uma categoria, registrar um formulário para cada categoria.","2. Situação. Selecionar ATIVO ou INATIVO.","3. Nome / Entidade. Informar o nome pelo qual o local de compras ou entidade é conhecido pela comunidade local ou visitantes.","4. Endereço. Informar com o maior detalhamento possível: rua, número e bairro/distrito.","5.1 Coordenadas. Informar a latitude do local de compras em formato decimal.","5.2 Coordenadas. Informar a longitude do local de compras em formato decimal.","6. Bairro. Informar o bairro ou, quando aplicável, o distrito onde se encontra o atrativo.","7. CEP. Informar no padrão XX.XXX-XXX.","8. DDD / Telefone. Informar no padrão (XX) XXXXX-XXXX.","9. Outro Telefone. Informar telefone adicional, se aplicável, no padrão (XX) XXXXX-XXXX.","10.1 Site/Rede Social. Informar o link de acesso ao site oficial.","10.2 Site/Rede Social. Informar nomes dos perfis das redes sociais.","11.1 Período de Funcionamento. Selecionar se a atividade é Permanente ou de Temporada.","11.2 Período de Funcionamento. Marcar se o local funciona em finais de semana e/ou feriados e festas.","11.2 Período de Funcionamento. Marcar se o local funciona em finais de semana e/ou feriados e festas.","11.3 Período de Funcionamento. Assinalar os meses em que há operação.","11.3 Período de Funcionamento. Assinalar os meses em que há operação.","11.3 Período de Funcionamento. Assinalar os meses em que há operação.","11.3 Período de Funcionamento. Assinalar os meses em que há operação.","11.3 Período de Funcionamento. Assinalar os meses em que há operação.","11.3 Período de Funcionamento. Assinalar os meses em que há operação.","11.3 Período de Funcionamento. Assinalar os meses em que há operação.","11.3 Período de Funcionamento. Assinalar os meses em que há operação.","11.3 Período de Funcionamento. Assinalar os meses em que há operação.","11.3 Período de Funcionamento. Assinalar os meses em que há operação.","11.3 Período de Funcionamento. Assinalar os meses em que há operação.","11.3 Período de Funcionamento. Assinalar os meses em que há operação.","12.1 Funcionamento Dias/Horário. Assinalar se o estabelecimento presta atendimento 24 horas.","12.2 Funcionamento Dias/Horário. Dias úteis - Turno 1 - horário inicial.","12.3 Funcionamento Dias/Horário. Dias úteis - Turno 1 - horário final.","12.4 Funcionamento Dias/Horário. Dias úteis - Turno 2 - horário inicial.","12.5 Funcionamento Dias/Horário. Dias úteis - Turno 2 - horário final.","12.6 Funcionamento Dias/Horário. Finais de semana/feriados - Turno 1 - horário inicial.","12.7 Funcionamento Dias/Horário. Finais de semana/feriados - Turno 1 - horário final.","12.8 Funcionamento Dias/Horário. Finais de semana/feriados - Turno 2 - horário inicial.","12.9 Funcionamento Dias/Horário. Finais de semana/feriados - Turno 2 - horário final.","12.10 Funcionamento Dias/Horário. Observações e outros períodos de atendimento.","13. Pesquisador. Campo preenchido automaticamente com o usuário responsável pelo preenchimento do formulário.","14.1 Fonte. Informar de onde, pessoa ou órgão/entidade, as informações foram extraídas.","14.2 Fonte. Informar os contatos da fonte, se disponíveis: responsável, telefone e e-mail.","15. Pesquisador: ","Pesquisador","Nro. Identificação","Data Início","Data Fim","Latitude","Longitude"
"Orocó ","Postos de Abastecimento de Veículos","ATIVO","Posto menino Jesus","BR 428",8.609743,39603044,"Br428","56.170.000","87996692525","999","@postomj2","@postomj2","Permanente","Finais de Semana","Feriados e Festas","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro","Sim",,,,,,,,,"06:00 as 22:00hrs","Proprietária","Erika Fabíola Barbosa","87996692525","Wylyana Dias dos Santos | 1295901459 ","Catarina Bezerra de Menezes | 1342687289",3403366,26/05/2026 12:45:15,26/05/2026 13:00:42,-8.61924770,-39.60093910
"Orocó ","Farmácias","ATIVO","Farmacia do povo .","Avenida sao sebastiao,643,centro.",8618419,39601381,"Centro","56170000","87999599682","999","@farmaciadopovo_oroco","@farmaciadopovo_oroco.","Permanente","Finais de Semana","Feriados e Festas","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro","Sim",,,,,,,,,"07:00 as 21:00horas","Aldamercia silva lima","Gerente.","87999348997","Wylyana Dias dos Santos | 1295901459 ","Wylyana Dias dos Santos | 1295901459",3404013,26/05/2026 20:28:09,26/05/2026 20:41:20,-8.61841248,-39.60131893
"Orocó ","Farmácias","ATIVO","Farmacia nunes.","Avenida são sebastião,centro,",8.618978,39600174,"Centro.","56.170.000","87991480209","999","@farmacianunesoroco","999","Permanente","Finais de Semana","Feriados e Festas","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro","Sim",,,,,,,,,"07:30  as 22:00 horas","Raiane carvalho","Fucionaria","87996232376","Wylyana Dias dos Santos | 1295901459 ","Wylyana Dias dos Santos | 1295901459",3403284,25/05/2026 20:37:40,25/05/2026 20:52:46,-8.61903639,-39.60011504
"Orocó ","Farmácias","ATIVO","Cabral farmar","Avenida prefeito ulices de novas bione.269,centro",8.619614,39600952,"Centro,","56.170.000","87999724901","Não","@cabralmarmaa","@cabralfarmaa","Permanente","Finais de Semana",,"Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro","Sim",,,,,,,,,"08:00as 18:00 horas","Aliny alves da silva ribeiro.","Funcionaria","87999714901","Wylyana Dias dos Santos | 1295901459 ","Wylyana Dias dos Santos | 1295901459",3403286,26/05/2026 11:56:51,26/05/2026 12:04:37,-8.61911220,-39.60107753
"Orocó ","Farmácias","ATIVO","Fármacia Ribeiro.","Prefeito ulices de novas bione.",8.620654,39600084,"Centro","56.170.000","87991078456","Não.","Não.","Não.","Permanente","Finais de Semana",,"Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro","Sim",,,,,,,,,"De 07:30 a 19:00 horas","Euzenir Ribeiro.","Propietaria.","87996705628","Wylyana Dias dos Santos | 1295901459 ","Wylyana Dias dos Santos | 1295901459",3403285,26/05/2026 11:41:11,26/05/2026 11:52:03,-8.62021522,-39.60023289
